ID,名称,别名
ID,Name,Alias
tk5_ezochi,虾夷,
tk5_mutsu,陆奥,
tk5_rikuchu,陆中,
tk5_rikizen,陆前,
tk5_ugo,羽后,
tk5_uzen,羽前,
tk5_iwashiro,岩代,
tk5_hitachi,常陆,
tk5_shimotsuke,下野,
tk5_kouzuke,上野,
tk5_kazusa,上总,上總·安房
tk5_kazusa,安房,上總·安房
tk5_shimousa,下总,
tk5_musashi,武藏,
tk5_sagami,相模,相模·伊豆
tk5_sagami,伊豆,相模·伊豆
tk5_echigo,越后,
tk5_etchu,越中,
tk5_noto,能登,
tk5_kaga,加贺,
tk5_echizen,越前,
tk5_shinano_kita,北信浓,
tk5_shinano_minami,南信浓,
tk5_kai,甲斐,
tk5_suruga,骏河,
tk5_totomi,远江,
tk5_mikawa,三河,
tk5_owari,尾张,
tk5_mino,美浓,
tk5_hida,飞驒,
tk5_ise,伊势,伊勢·志摩
tk5_ise,志摩,伊勢·志摩
tk5_omi_kita,北近江,
tk5_omi_minami,南近江,
tk5_yamato,大和,大和·伊賀
tk5_yamato,伊贺,大和·伊賀
tk5_yamashiro,山城,
tk5_tanba,丹波,
tk5_tango,丹后,丹後·若狭
tk5_tango,若狭,丹後·若狭
tk5_kawachi,河内,河內·和泉
tk5_kawachi,和泉,河內·和泉
tk5_settsu,摄津,
tk5_kii,纪伊,
tk5_inaba,因幡,因幡·伯耆
tk5_inaba,伯耆,因幡·伯耆
tk5_tajima,但马,
tk5_izumo,出云,
tk5_iwami,石见,
tk5_harima,播磨,
tk5_mimasaka,美作,
tk5_bizen,备前,
tk5_bichu,备中,
tk5_bingo,备后,
tk5_aki,安艺,安芸|安藝
tk5_suou,周防,周防·長門
tk5_suou,长门,周防·長門
tk5_sanuki,赞岐,
tk5_iyo,伊予,
tk5_awa,阿波,阿波·淡路
tk5_awa,淡路,阿波·淡路
tk5_tosa,土佐,
tk5_chikuzen,筑前,筑前·對馬
tk5_chikuzen,对马,筑前·對馬
tk5_chikugo,筑后,
tk5_hizen,肥前,
tk5_higo,肥后,
tk5_buzen,丰前,
tk5_bungo,丰后,
tk5_hyuga,日向,
tk5_osumi,大隅,
tk5_satsuma,萨摩,
tk5_chosen,朝鲜,
tk5_min,明,
tk5_ryukyu,琉球,
tk5_namban_minami,南蛮,
