势力类型,ID,势力名,短名,别名,Culture,Owner_1554,Owner_1560,Owner_1568,Owner_1575,Owner_1582,Owner_1598,太阁编号
ForceType,ID,ForceName,ShortName,Alias,Culture,Owner_1554,Owner_1560,Owner_1568,Owner_1575,Owner_1582,Owner_1598,TK5_ID
Warrior,akamatsu,赤松家,赤松,,kinai,lord_tk5_808,lord_tk5_8,lord_tk5_8,lord_tk5_8,-,-,127|128
Warrior,akana,赤穴家,赤穴,,sanyo,-,-,-,-,-,-,126
Warrior,akita,秋田家,秋田,,ou,-,-,-,-,-,lord_tk5_11,131
Warrior,amago,尼子家,尼子,,sanyo,lord_tk5_45,lord_tk5_45,-,-,-,-,164|165|166
Warrior,ando,安东家,安东,,ou,lord_tk5_56,lord_tk5_56,lord_tk5_56,lord_tk5_56,lord_tk5_56,-,175|176
Warrior,anekouji,姊小路家,姊小路,,tosan,-,-,lord_tk5_907,lord_tk5_42,lord_tk5_42,-,162
Warrior,ankokuji,安国寺家,安国寺,,nankai,-,-,-,-,-,lord_tk5_54,174
Warrior,aoyama,青山家,青山,,kanto,-,-,-,-,-,-,120
Warrior,arima,有马家,有马,,saikai,lord_tk5_822,lord_tk5_810,-,-,-,lord_tk5_53,173
Warrior,asakura,朝仓家,朝仓,,hokuriku,lord_tk5_23,lord_tk5_23,lord_tk5_23,-,-,-,138|139|140|141|142|143
Warrior,asano,浅野家,浅野,,tokai,-,-,-,-,-,lord_tk5_26,144|145|146
Warrior,ashikaga,足利家,足利,,kinai,lord_tk5_31,lord_tk5_31,lord_tk5_29,-,-,-,149|150|151
Warrior,ashina,芦名家,芦名,,ou,lord_tk5_32,lord_tk5_32,lord_tk5_32,lord_tk5_32,lord_tk5_35,-,152|153|154|155
Warrior,aso,阿苏家,阿苏,,saikai,lord_tk5_850,lord_tk5_36,lord_tk5_36,lord_tk5_36,lord_tk5_36,-,156
Warrior,azai,浅井家,浅井,,kinai,lord_tk5_17,lord_tk5_16,lord_tk5_16,-,-,-,135|136|137
Warrior,chaya,茶屋家,茶屋,,neutral_culture,-,-,-,-,-,-,599|600
Warrior,cho,长家,长,,hokuriku,-,-,lord_tk5_485,lord_tk5_485,-,-,605|606
Warrior,chosokabe,长宗我部家,长宗我部,,nankai,lord_tk5_481,lord_tk5_483,lord_tk5_483,lord_tk5_483,lord_tk5_483,lord_tk5_484,601|602|603|604
Warrior,daihoji,大宝寺家,大宝寺,,ou,lord_tk5_813,lord_tk5_813,lord_tk5_435,lord_tk5_435,lord_tk5_435,-,555
