ID,设施名,别名,日文原形
ID,FacilityName,Alias,JPName
facility_stone_shop,石头屋,石屋|石头,石屋
facility_book_shop,书屋,本屋|书,本屋
facility_hardware_shop,五金屋,金物屋|五金,金物屋
facility_kimono_shop,吴服屋,呉服屋|吴服,呉服屋
facility_bath_house,浴池屋,風呂屋|風呂|风吕,風呂屋
facility_general_shop,杂货屋,雑貨屋|杂货,雑貨屋
facility_dried_goods_shop,干货屋,乾物屋|乾物|干货,乾物屋
facility_barber_shop,地板屋,床屋|床,床屋
facility_produce_shop,百货屋,八百屋|八百|百货,八百屋
facility_tofu_shop,豆腐屋,,豆腐屋
facility_meal_shop,饭屋,,饭屋
facility_flower_shop,花屋,,花屋
facility_sake_shop,酒屋,,酒屋
facility_meat_shop,肉屋,,肉屋
facility_oil_shop,油屋,,油屋
facility_fish_shop,鱼屋,,鱼屋
