ID,名称,别名,文化,当主_1554,所属势力_1554,当主_1560,所属势力_1560,当主_1568,所属势力_1568,当主_1575,所属势力_1575,当主_1582,所属势力_1582,当主_1598,所属势力_1598
ID,Name,Alias,Culture,Owner_1554,Kingdom_1554,Owner_1560,Kingdom_1560,Owner_1568,Kingdom_1568,Owner_1575,Kingdom_1575,Owner_1582,Kingdom_1582,Owner_1598,Kingdom_1598
clan_akamatsu_1,赤松,,kinai,lord_tk5_808,akamatsu,lord_tk5_8,akamatsu,lord_tk5_8,akamatsu,lord_tk5_8,akamatsu,-,-,-,-
clan_akamatsu_2,赤松,,kinai,lord_tk5_7,akamatsu,lord_tk5_7,akamatsu,lord_tk5_7,akamatsu,-,-,-,-,-,-
clan_akechi_1,明智,,tokai,lord_tk5_14,saitoo,lord_tk5_14,asakura,lord_tk5_14,oda,lord_tk5_14,oda,lord_tk5_14,oda,-,-
clan_aki_1,安艺,,nankai,lord_tk5_10,ichijo,lord_tk5_10,ichijo,-,-,-,-,-,-,-,-
clan_akita_1,秋田,,ou,-,-,-,-,-,-,-,-,-,-,lord_tk5_11,akita
clan_amago_1,尼子,,sanyo,lord_tk5_45,amago,lord_tk5_45,amago,-,-,-,-,-,-,-,-
clan_anayama_1,穴山,,tosan,lord_tk5_41,takeda,lord_tk5_41,takeda,lord_tk5_41,takeda,lord_tk5_41,takeda,lord_tk5_41,takeda,-,-
clan_ando_1,安东,,ou,lord_tk5_56,ando,lord_tk5_56,ando,lord_tk5_56,ando,lord_tk5_56,ando,lord_tk5_56,ando,-,-
clan_andoo_1,安藤,,tokai,lord_tk5_58,saitoo,lord_tk5_58,saitoo,-,-,-,-,-,-,-,-
clan_anekouji_1,姊小路,,tosan,lord_tk5_907,miki,lord_tk5_907,miki,lord_tk5_907,anekouji,lord_tk5_42,anekouji,lord_tk5_42,anekouji,-,-
clan_ankokuji_1,安国寺,,nankai,-,-,-,-,-,-,-,-,-,-,lord_tk5_54,ankokuji
clan_antou_1,安东,,pirate,lord_tk5_pirate_senzaemon,org_pirate_antousuigun,lord_tk5_pirate_senzaemon,org_pirate_antousuigun,lord_tk5_pirate_senzaemon,org_pirate_antousuigun,lord_tk5_pirate_senzaemon,org_pirate_antousuigun,lord_tk5_pirate_senzaemon,org_pirate_antousuigun,-,-
clan_antou_2,安东,,pirate,-,-,-,-,-,-,-,-,-,-,lord_tk5_pirate_soohachiroo,org_pirate_antousuigun
clan_anzai_1,安西,,pirate,-,-,-,-,-,-,-,-,-,-,lord_tk5_3,org_pirate_bousousuigun
clan_araki_1,荒木,,kinai,lord_tk5_52,miyoshi,lord_tk5_52,miyoshi,lord_tk5_52,oda,lord_tk5_52,oda,-,-,-,-
clan_arima_1,有马,,saikai,lord_tk5_822,arima,lord_tk5_810,arima,lord_tk5_810,ryuzoji,lord_tk5_810,ryuzoji,-,-,lord_tk5_53,arima
clan_asakura_1,朝仓,,hokuriku,lord_tk5_23,asakura,lord_tk5_23,asakura,lord_tk5_23,asakura,-,-,-,-,-,-
clan_asano_1,浅野,,tokai,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_25,oda,lord_tk5_26,asano
clan_ashikaga_1,足利,,kinai,lord_tk5_31,ashikaga,lord_tk5_31,ashikaga,-,-,-,-,-,-,-,-
clan_ashikaga_2,足利,,kinai,-,-,-,-,lord_tk5_29,ashikaga,-,-,-,-,-,-
clan_ashina_1,芦名,,ou,lord_tk5_32,ashina,lord_tk5_32,ashina,lord_tk5_32,ashina,lord_tk5_32,ashina,-,-,-,-
clan_ashina_2,芦名,,ou,-,-,-,-,-,-,-,-,lord_tk5_35,ashina,-,-
clan_aso_1,阿苏,,saikai,lord_tk5_850,aso,lord_tk5_36,aso,lord_tk5_36,aso,lord_tk5_36,aso,lord_tk5_36,aso,-,-
clan_atagi_1,安宅,,pirate,lord_tk5_38,org_pirate_awajisuigun,lord_tk5_38,org_pirate_awajisuigun,lord_tk5_37,org_pirate_awajisuigun,lord_tk5_37,org_pirate_awajisuigun,-,-,-,-
clan_azai_1,浅井,,kinai,lord_tk5_17,azai,-,-,-,-,-,-,-,-,-,-
clan_azai_2,浅井,,kinai,lord_tk5_16,azai,lord_tk5_16,azai,lord_tk5_16,azai,-,-,-,-,-,-
clan_baba_1,马场,,tosan,lord_tk5_592,takeda,lord_tk5_592,takeda,-,-,-,-,-,-,-,-
clan_bessho_1,别所,,kinai,lord_tk5_842,akamatsu,lord_tk5_842,akamatsu,-,-,-,-,-,-,-,-
clan_bessho_2,别所,,kinai,-,-,-,-,lord_tk5_621,akamatsu,lord_tk5_621,akamatsu,-,-,-,-
clan_bounotsu_1,坊津,,pirate,lord_tk5_pirate_hansaburoo,org_pirate_bounotsusuigun,lord_tk5_pirate_hansaburoo,org_pirate_bounotsusuigun,lord_tk5_pirate_hansaburoo,org_pirate_bounotsusuigun,lord_tk5_pirate_hansaburoo,org_pirate_bounotsusuigun,lord_tk5_pirate_hansaburoo,org_pirate_bounotsusuigun,-,-
clan_bounotsu_2,坊津,,pirate,-,-,-,-,-,-,-,-,-,-,lord_tk5_pirate_gunbee,org_pirate_bounotsusuigun
