force_id,force_name,lord_pid,lord_name,member_count
0,无,11,秋田实季,366
1,浅野家,26,浅野幸长,5
2,有马家,53,有马晴信,1
3,安国寺家,54,安国寺惠琼,1
4,无,67,池田辉政,35
5,生驹家,70,生驹亲正,2
6,伊东家,96,伊东祐兵,1
7,上杉家,116,上杉景胜,7
8,宇喜多家,125,宇喜多秀家,7
9,大谷家,165,大谷吉继,2
10,织田家,196,织田秀信,2
11,小野寺家,205,小野寺义道,1
12,蛎崎家,216,蛎崎庆广,2
13,加藤家,230,加藤清正,2
14,加藤家,233,加藤嘉明,2
15,金森家,235,金森长近,1
16,龟井家,239,龟井兹矩,1
17,蒲生家,244,蒲生秀行,2
18,吉川家,263,吉川广家,1
19,京极家,271,京极高次,1
20,京极家,272,京极高知,1
21,九鬼家,278,九鬼守隆,2
22,黑田家,293,黑田长政,5
23,小西家,312,小西行长,3
24,小早川家,315,小早川秀秋,4
25,小早川家,316,小早川秀包,1
26,相良家,338,相良赖房,4
27,佐竹家,348,佐竹义宣,7
28,里见家,354,里见义康,2
29,真田家,359,真田昌幸,4
30,岛津家,395,岛津义弘,11
31,相马家,428,相马义胤,3
32,宗家,430,宗义智,2
33,立花家,458,立花宗茂,4
34,伊达家,466,伊达政宗,14
35,田中家,468,田中吉政,1
36,长宗我部家,484,长宗我部盛亲,10
37,津轻家,488,津轻为信,2
38,筒井家,492,筒井定次,2
39,藤堂家,499,藤堂高虎,2
40,德川家,506,德川家康,47
41,丰臣家,518,丰臣秀赖,30
42,中村家,539,中村一氏,1
43,锅岛家,548,锅岛直茂,5
44,南部家,556,南部信直,4
45,丹羽家,564,丹羽长重,1
46,蜂须贺家,584,蜂须贺家政,2
47,福岛家,615,福岛正则,3
48,细川家,636,细川忠兴,5
49,堀尾家,639,堀尾忠氏,3
50,堀家,643,堀秀治,2
51,前田家,659,前田利家,9
52,沟口家,694,沟口秀胜,1
53,宫部家,698,宫部继润,1
54,松浦家,683,松浦镇信,2
55,毛利家,721,毛利辉元,9
56,最上家,723,最上义光,6
57,森家,731,森忠政,2
58,山内家,760,山内一丰,1
59,结城家,764,结城秀康,5
60,胁坂家,793,胁坂安治,1
70,镫屋,931,商人,5
71,纳屋,108,今井宗薰,5
72,神屋,120,神屋宗湛,5
73,下关屋,895,忍者,5
74,组屋,287,组屋源四郎,5
75,平野屋,288,末吉孙左卫门,5
76,角仓屋,419,角仓素庵,6
77,茶屋,927,商人,5
78,川舟屋,540,道川兵卫三郎,5
79,山形屋,559,西川仁右卫门,5
80,播磨屋,598,播磨屋宗德,5
81,角屋,682,角屋七郎次郎,5
82,淀屋,949,商人,5
83,梁田屋,782,梁田藤左卫门,5
84,鸿池屋,604,鸿池新六,5
85,大西屋,384,涩谷与右卫门,1
86,博多屋,385,岛井宗室,1
90,黑胫巾众,749,柳原户兵卫,6
91,户隐众,94,出浦盛清,6
93,,977,海贼,4
95,甲贺众,364,猿飞佐助,7
96,伊贺众,63,伊贺崎道顺,12
97,根来众,412,杉之坊照算,6
99,外闻众,350,佐田彦四郎,7
100,,981,海贼,3
101,,967,商人,5
105,无,840,尼子诚久,5
106,房总水军,890,忍者,5
107,江户水军,860,忍者,9
109,无,850,阿苏惟丰,7
110,,870,忍者,5
111,淡路水军,875,忍者,6
112,无,848,井上元兼,6
113,村上水军,865,忍者,7
114,,880,忍者,5
116,无,855,江上武种,5
117,,885,忍者,5
121,无,363,佐分利猪之助,534
