city_idx,kana4,name_official,name_history,lord_pid,lord_name,force_id,force_name,soldiers,food,gold,train,morale
0,03505078,胜山馆,胜山馆|松前城,215,蛎崎季广,8,安东家,5800,60000,15800,50,50
1,046e3250,大浦城,大浦城,488,津轻为信,40,南部家,5800,60000,15800,50,50
2,05821e32,八户城,八户城,557,南部晴政,40,南部家,4000,40000,14000,50,50
3,045a3c64,三户城,三户城,557,南部晴政,40,南部家,7600,80000,17600,50,50
4,046e375a,九户城,九户城,285,九户政实,40,南部家,5800,60000,15800,50,50
5,06965f96,不来方城,不来方城|盛冈城,557,南部晴政,40,南部家,7600,80000,17600,50,50
6,046e141e,高水寺城,高水寺城,378,斯波诠真,29,斯波家,5800,60000,15800,50,50
7,04783250,岩出山城,岩出山城,85,一栗放牛,15,大崎家,4000,40000,14000,50,50
8,046e1928,寺池城,寺池城,219,葛西晴信,21,葛西家,5800,60000,15800,50,50
9,04641928,名生城,名生城,160,大崎义直,15,大崎家,5800,60000,15800,50,50
10,07a00000,仙台城,仙台城,465,伊达晴宗,36,伊达家,7600,80000,17600,50,50
11,05782d46,白石城,白石城,465,伊达晴宗,36,伊达家,4000,40000,14000,50,50
12,06823250,凑城,凑城,56,安东爱季,8,安东家,5800,60000,15800,50,50
13,05642d46,桧山城,桧山城,56,安东爱季,8,安东家,5800,60000,15800,50,50
14,055a3c5a,角馆城,角馆城,56,安东爱季,8,安东家,5800,60000,15800,50,50
15,04823c64,横手城,横手城,204,小野寺辉道,20,小野寺家,7600,80000,17600,50,50
16,07963250,山形城,山形城,725,最上义守,51,最上家,7600,80000,17600,50,50
17,04640000,鲑延城,鲑延城,725,最上义守,51,最上家,4000,40000,14000,50,50
18,04780000,尾浦城,尾浦城,435,大宝寺义氏,34,大宝寺家,4000,40000,14000,50,50
19,08a01e32,米泽城,米泽城,465,伊达晴宗,36,伊达家,7600,80000,17600,50,50
20,07b43250,黑川城,黑川城,32,芦名盛氏,4,芦名家,7600,80000,17600,50,50
