force_id,force_name,lord_pid,lord_name,member_count
0,无,197,小寺政职,374
1,,1042,菊亭晴季,2
4,芦名家,32,芦名盛氏,42
5,阿苏家,36,阿苏惟将,2
6,姊小路家,42,姊小路赖纲,1
8,安东家,56,安东爱季,7
10,一色家,93,一色义道,4
11,伊东家,98,伊东义祐,3
13,宇都宫家,136,宇都宫广纲,4
14,浦上家,124,宇喜多直家,15
15,大崎家,85,一栗放牛,3
17,大友家,438,高桥鉴种,21
19,织田家,195,织田信长,127
20,小野寺家,204,小野寺辉道,3
21,葛西家,219,葛西晴信,1
24,河野家,301,河野通宣,4
25,德川家,506,德川家康,40
26,相良家,337,相良义阳,7
27,佐竹家,347,佐竹义重,8
28,里见家,353,里见义弘,5
29,斯波家,378,斯波诠真,2
30,岛津家,394,岛津义久,24
31,神保家,407,神保长城,3
32,相马家,427,相马盛胤,3
33,宗家,429,宗义调,3
34,大宝寺家,435,大宝寺义氏,1
35,武田家,447,武田胜赖,31
36,伊达家,464,伊达辉宗,21
37,长宗我部家,483,长宗我部元亲,22
38,筒井家,493,筒井顺庆,6
39,上杉家,257,北条高广,26
40,南部家,557,南部晴政,8
41,三好家,702,三好长治,6
42,长家,485,长续连,5
43,波多野家,583,波多野秀治,5
44,北条家,629,北条氏政,22
45,本愿寺,647,本愿寺显如,11
47,松浦家,684,松浦隆信,4
50,毛利家,265,吉川元春,31
51,最上家,723,最上义光,7
52,山名家,758,山名祐丰,4
53,结城家,763,结城晴朝,2
54,龙造寺家,785,龙造寺隆信,15
55,椎名家,367,椎名康胤,1
70,无,840,尼子诚久,4
71,无,97,伊藤惣十郎,4
72,纳屋,848,井上元兼,6
73,无,111,宇野藤右卫门,4
74,无,121,坂田源右卫门,4
75,越后屋,289,藏田五郎左,4
76,小西屋,313,小西隆佐,5
77,大西屋,384,涩谷与右卫门,4
78,博多屋,865,忍者,4
79,茶屋,479,茶屋又四郎,5
80,下关屋,870,忍者,4
81,天王寺屋,873,忍者,4
82,角仓屋,420,角仓了以,4
83,梁田屋,782,梁田藤左卫门,4
84,组屋,287,组屋源四郎,4
85,川舟屋,885,忍者,4
86,镫屋,888,忍者,4
87,神屋,120,神屋宗湛,4
88,山形屋,895,忍者,3
90,黑胫巾众,749,柳原户兵卫,6
91,户隐众,94,出浦盛清,6
92,风魔众,561,二曲轮猪助,7
93,,911,忍者,4
94,透波众,297,高坂甚内,6
95,甲贺众,122,鹈饲孙六,7
96,伊贺众,63,伊贺崎道顺,10
97,根来众,412,杉之坊照算,5
98,,932,商人,4
99,外闻众,350,佐田彦四郎,6
100,,940,商人,4
101,,944,商人,4
105,,949,商人,4
106,房总水军,952,商人,6
107,相模水军,956,商人,6
108,骏河水军,961,商人,9
109,熊野水军,967,商人,6
110,丹后水军,971,商人,5
111,淡路水军,972,商人,7
112,盐饱水军,977,海贼,5
113,村上水军,981,海贼,7
114,土佐水军,984,海贼,5
115,丰后水军,988,海贼,5
116,五岛水军,992,海贼,6
117,,997,海贼,4
121,无,633,宝藏院胤荣,240
