city_idx,kana4,name_official,name_history,lord_pid,lord_name,force_id,force_name,soldiers,food,gold,train,morale
0,03505078,胜山馆,胜山馆|松前城,215,蛎崎季广,8,安东家,8600,60000,22800,50,50
1,046e3250,大浦城,大浦城,488,津轻为信,40,南部家,8600,60000,22800,50,50
2,05821e32,八户城,八户城,557,南部晴政,40,南部家,7000,40000,21000,50,50
3,045a3c64,三户城,三户城,557,南部晴政,40,南部家,10200,80000,24600,50,50
4,046e375a,九户城,九户城,285,九户政实,40,南部家,8600,60000,22800,50,50
5,06965f96,不来方城,不来方城|盛冈城,557,南部晴政,40,南部家,10200,80000,24600,50,50
6,046e141e,高水寺城,高水寺城,378,斯波诠真,29,斯波家,8600,60000,22800,50,50
7,04783250,岩出山城,岩出山城,85,一栗放牛,15,大崎家,8600,60000,22800,50,50
8,046e1928,寺池城,寺池城,219,葛西晴信,21,葛西家,8600,60000,22800,50,50
9,04641928,名生城,名生城,160,大崎义直,15,大崎家,8600,60000,22800,50,50
10,07a00000,仙台城,仙台城,464,伊达辉宗,36,伊达家,10200,80000,24600,50,50
11,05782d46,白石城,白石城,464,伊达辉宗,36,伊达家,8600,60000,22800,50,50
12,06823250,凑城,凑城,56,安东爱季,8,安东家,8600,60000,22800,50,50
13,05642d46,桧山城,桧山城,56,安东爱季,8,安东家,10200,80000,24600,50,50
14,055a3c5a,角馆城,角馆城,56,安东爱季,8,安东家,8600,60000,22800,50,50
15,04823c64,横手城,横手城,204,小野寺辉道,20,小野寺家,10200,80000,24600,50,50
16,07963250,山形城,山形城,723,最上义光,51,最上家,10200,80000,24600,50,50
17,04640000,鲑延城,鲑延城,723,最上义光,51,最上家,8600,60000,22800,50,50
18,04780000,尾浦城,尾浦城,435,大宝寺义氏,34,大宝寺家,7000,40000,21000,50,50
19,08a01e32,米泽城,米泽城,464,伊达辉宗,36,伊达家,10200,80000,24600,50,50
20,07b43250,黑川城,黑川城,32,芦名盛氏,4,芦名家,10200,80000,24600,50,50
21,04782846,二本松城,二本松城,563,二本松义继,4,芦名家,8600,60000,22800,50,50
22,046e1e32,须贺川城,须贺川城,32,芦名盛氏,4,芦名家,8600,60000,22800,50,50
23,05782d46,小高城,小高城,427,相马盛胤,32,相马家,8600,60000,22800,50,50
24,05643c64,太田城,太田城,347,佐竹义重,27,佐竹家,10200,80000,24600,50,50
25,06aa283c,水户城,水户城,347,佐竹义重,27,佐竹家,10200,80000,24600,50,50
26,0478375a,土浦城,土浦城,347,佐竹义重,27,佐竹家,10200,80000,24600,50,50
27,038c3250,小田城,小田城,347,佐竹义重,27,佐竹家,8600,60000,22800,50,50
28,06a01e32,宇都宫城,宇都宫城,136,宇都宫广纲,13,宇都宫家,10200,80000,24600,50,50
29,058c1928,唐泽山城,唐泽山城,136,宇都宫广纲,13,宇都宫家,8600,60000,22800,50,50
30,048c1e32,小山城,小山城,763,结城晴朝,53,结城家,8600,60000,22800,50,50
31,0478233c,乌山城,乌山城,544,那须资晴,13,宇都宫家,7000,40000,21000,50,50
32,05b4233c,厩桥城,厩桥城,257,北条高广,39,上杉家,11800,100000,26400,50,50
33,048c2d46,沼田城,沼田城,257,北条高广,39,上杉家,8600,60000,22800,50,50
34,05a02846,馆林城,馆林城,624,北条氏邦,44,北条家,8600,60000,22800,50,50
35,05a03250,箕轮城,箕轮城,523,内藤昌丰,35,武田家,10200,80000,24600,50,50
36,056e0000,胜浦城,胜浦城,353,里见义弘,28,里见家,7000,40000,21000,50,50
37,05780000,久留里城,久留里城,353,里见义弘,28,里见家,10200,80000,24600,50,50
38,05780000,稻村城,稻村城,353,里见义弘,28,里见家,8600,60000,22800,50,50
39,06a00000,佐仓城,佐仓城,478,千叶胤富,44,北条家,8600,60000,22800,50,50
40,06aa0000,结城城,结城城,763,结城晴朝,53,结城家,10200,80000,24600,50,50
41,08dc0000,江户城,江户城,629,北条氏政,44,北条家,11800,100000,26400,50,50
42,05aa0000,岩槻城,岩槻城,629,北条氏政,44,北条家,8600,60000,22800,50,50
43,06960000,河越城,河越城,629,北条氏政,44,北条家,8600,60000,22800,50,50
44,05784164,忍城,忍城,550,成田氏长,44,北条家,10200,80000,24600,50,50
45,06a04164,八王子城,八王子城,626,北条氏照,44,北条家,8600,60000,22800,50,50
46,09dc0000,小田原城,小田原城,629,北条氏政,44,北条家,13400,120000,28200,50,50
47,04820000,玉绳城,玉绳城,632,北条纲成,44,北条家,8600,60000,22800,50,50
48,03501e32,韭山城,韭山城,628,北条氏规,44,北条家,8600,60000,22800,50,50
49,08b43c64,春日山城,春日山城,119,上杉谦信,39,上杉家,11800,100000,26400,50,50
50,06783250,新发田城,新发田城,382,新发田长敦,39,上杉家,8600,60000,22800,50,50
51,066e3250,本庄城,本庄城,650,本庄繁长,39,上杉家,8600,60000,22800,50,50
52,0678233c,橡尾城,橡尾城,119,上杉谦信,39,上杉家,8600,60000,22800,50,50
53,058c5a8c,富山城,富山城,407,神保长城,31,神保家,10200,80000,24600,50,50
54,058c4b78,鱼津城,鱼津城,367,椎名康胤,55,椎名家,8600,60000,22800,50,50
55,05785f96,七尾城,七尾城,485,长续连,42,长家,11800,100000,26400,50,50
56,0596466e,尾山城,尾山城,375,七里赖周,45,本愿寺,11800,100000,26400,50,50
57,058c3250,小松城,小松城,647,本愿寺显如,45,本愿寺,8600,60000,22800,50,50
58,046e3250,大圣寺城,大圣寺城,400,下间赖照,45,本愿寺,8600,60000,22800,50,50
59,068c3c5a,一乘谷城,一乘谷城,195,织田信长,19,织田家,11800,100000,26400,50,50
60,07a03250,北之庄城,北之庄城,195,织田信长,19,织田家,11800,100000,26400,50,50
61,04783250,金崎城,金崎城,195,织田信长,19,织田家,8600,60000,22800,50,50
62,06783250,户石城,户石城,356,真田信纲,35,武田家,8600,60000,22800,50,50
63,045a3250,海津城,海津城,298,高坂昌信,35,武田家,10200,80000,24600,50,50
64,046e3250,饭山城,饭山城,447,武田胜赖,35,武田家,8600,60000,22800,50,50
65,048c3250,小诸城,小诸城,451,武田信丰,35,武田家,8600,60000,22800,50,50
66,0578283c,高远城,高远城,560,仁科盛信,35,武田家,10200,80000,24600,50,50
67,0478233c,木曾福岛城,木曾福岛城,254,木曾义昌,35,武田家,8600,60000,22800,50,50
68,04783250,饭田城,饭田城,447,武田胜赖,35,武田家,8600,60000,22800,50,50
69,07aa73b4,踯躅崎馆,踯躅崎馆|甲府城,447,武田胜赖,35,武田家,11800,100000,26400,50,50
70,05644b78,岩殿城,岩殿城,447,武田胜赖,35,武田家,8600,60000,22800,50,50
71,05643250,下山城,下山城,447,武田胜赖,35,武田家,7000,40000,21000,50,50
72,08d23c64,骏府城,骏府城,447,武田胜赖,35,武田家,10200,80000,24600,50,50
73,0378283c,兴国寺城,兴国寺城,573,垪和氏续,44,北条家,8600,60000,22800,50,50
74,06b43250,滨松城,曳马城|滨松城,506,德川家康,25,德川家,11800,100000,26400,50,50
75,04823250,二股城,二股城|二俣城,506,德川家康,25,德川家,8600,60000,22800,50,50
76,04783250,高天神城,高天神城,506,德川家康,25,德川家,8600,60000,22800,50,50
77,06aa233c,冈崎城,冈崎城,507,德川信康,25,德川家,10200,80000,24600,50,50
78,046e0000,长篠城,长篠城,183,奥平信昌,25,德川家,8600,60000,22800,50,50
79,06a0283c,吉田城,吉田城,506,德川家康,25,德川家,8600,60000,22800,50,50
80,06b43250,清洲城,清洲城,195,织田信长,19,织田家,10200,80000,24600,50,50
81,035a0000,鸣海城,鸣海城,195,织田信长,19,织田家,8600,60000,22800,50,50
82,04783250,小牧山城,小牧山城,195,织田信长,19,织田家,8600,60000,22800,50,50
83,07a0283c,那古野城,那古野城|名古屋城,594,林秀贞,19,织田家,8600,60000,22800,50,50
84,07a05078,岐阜城,稻叶山城|岐阜城,195,织田信长,19,织田家,11800,100000,26400,50,50
85,0350233c,墨股城,墨股城,195,织田信长,19,织田家,8600,60000,22800,50,50
86,05a0375a,大垣城,大垣城,58,安藤守就,19,织田家,10200,80000,24600,50,50
87,0478375a,岩村城,岩村城,12,秋山虎繁,35,武田家,8600,60000,22800,50,50
88,036e375a,曾根城,曾根城,101,稻叶一铁,19,织田家,8600,60000,22800,50,50
89,04784164,松仓城,松仓城,42,姊小路赖纲,6,姊小路家,8600,60000,22800,50,50
90,06b40000,安浓津城,安浓津城,193,织田信孝,19,织田家,10200,80000,24600,50,50
91,04783250,大河内城,大河内城,191,织田信雄,19,织田家,10200,80000,24600,50,50
92,06961928,长岛城,长岛城,442,泷川一益,19,织田家,10200,80000,24600,50,50
93,035a0000,鸟羽城,鸟羽城,195,织田信长,19,织田家,8600,60000,22800,50,50
94,0578233c,小谷城,小谷城,195,织田信长,19,织田家,10200,80000,24600,50,50
95,068c1e32,佐和山城,佐和山城,565,丹羽长秀,19,织田家,8600,60000,22800,50,50
96,05a02d46,长滨城,今滨城|长滨城,517,丰臣秀吉,19,织田家,11800,100000,26400,50,50
97,06b40000,观音寺城,观音寺城|安土城|水口城,195,织田信长,19,织田家,11800,100000,26400,50,50
98,04a02d46,阪本城,阪本城|大津城,14,明智光秀,19,织田家,11800,100000,26400,50,50
99,05782d46,日野城,日野城,242,蒲生定秀,19,织田家,8600,60000,22800,50,50
100,0478141e,多闻山城,多闻山城,679,松永久秀,19,织田家,8600,60000,22800,50,50
101,0582375a,信贵山城,信贵山城,679,松永久秀,19,织田家,8600,60000,22800,50,50
102,056e3c5a,大和郡山城,大和郡山城,493,筒井顺庆,38,筒井家,8600,60000,22800,50,50
103,04644164,伊贺上野城,伊贺上野城,493,筒井顺庆,38,筒井家,8600,60000,22800,50,50
104,05640000,胜龙寺城,胜龙寺城,195,织田信长,19,织田家,8600,60000,22800,50,50
